reporter_status,cell_soma_location,species,id,name,structure_layer_name,structure_area_id,structure_area_abbrev,transgenic_line,dendrite_type,apical,reconstruction_type,disease_state,donor_id,structure_hemisphere,normalized_depth
,"[273.0, 354.0, 216.0]",Homo Sapiens,525011903,H16.03.003.01.14.02,3,12113,FroL,,spiny,intact,,epilepsy,524848408,right,
positive,"[8966.56330957526, 1429.52689052075, 8567.389672505]",Mus musculus,565871768,Oxtr-2A-Cre;Ai14-293837.03.01.02,5,385,VISp,Oxtr-T2A-Cre,aspiny,NA,,,563340157,left,0.582056591439023
positive,"[7872.53138541818, 993.212032389272, 3127.15304714108]",Mus musculus,469801138,Pvalb-IRES-Cre;Ai14-170927.05.02.01,4,385,VISp,Pvalb-IRES-Cre,aspiny,NA,,,319194354,right,0.469578264738698
,"[69.0, 254.0, 96.0]",Homo Sapiens,528642047,H16.06.009.01.02.06.05,5,12141,MTG,,aspiny,NA,,epilepsy,528574320,left,
positive,"[9400.0, 1520.74232706376, 2188.13845194139]",Mus musculus,605889373,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337419.03.02.01,2/3,385,VISp,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,aspiny,NA,,,605622695,right,
,"[322.0, 255.0, 92.0]",Homo Sapiens,537256313,H16.03.006.01.05.02,4,12141,MTG,,spiny,truncated,,epilepsy,536912860,right,
positive,"[8881.0, 953.839501299405, 7768.22695782726]",Mus musculus,485909730,Cux2-CreERT2;Ai14-205530.03.02.01,5,385,VISp,Cux2-CreERT2,spiny,intact,dendrite-only,,485250100,right,0.478343598387418
positive,"[8125.0, 904.841803028986, 7819.69986630448]",Mus musculus,323865917,Scnn1a-Tg3-Cre;Ai14-172530.06.01.01,5,385,VISp,Scnn1a-Tg3-Cre,spiny,intact,dendrite-only,,322489588,left,0.608589715882724
positive,"[8294.0, 828.8846152563, 3320.65602051487]",Mus musculus,583836069,Htr3a-Cre_NO152;Ai14-314135.05.02.02,2/3,385,VISp,Htr3a-Cre_NO152,aspiny,NA,,,581538789,right,
positive,"[9022.31795341815, 1034.01756171273, 3750.09609106139]",Mus musculus,504615116,Rorb-IRES2-Cre-D;Ai14-234241.04.02.01,5,385,VISp,Rorb-IRES2-Cre,spiny,intact,,,503871551,right,0.68479988993718
positive,"[9226.81555310021, 2289.94455323552, 9055.32772884261]",Mus musculus,558076716,Ctgf-2A-dgCre;Ai14(IVSCC)-280859.04.01.01,6a,409,VISl,Ctgf-T2A-dgCre,spiny,truncated,,,557265267,left,
positive,"[8711.26681152, 1417.44904628, 8895.04077315]",Mus musculus,476135066,Scnn1a-Tg3-Cre;Ai14-187849.06.01.01,4,385,VISp,Scnn1a-Tg3-Cre,spiny,intact,dendrite-only,,475849748,left,0.419115970790224
positive,"[9918.74841340251, 2116.91601361369, 2202.77186959471]",Mus musculus,502614426,Rorb-IRES2-Cre-D;Ai14-230822.04.02.01,4,425,VISpl,Rorb-IRES2-Cre,spiny,intact,dendrite-only,,502081962,right,0.411748299578798
,"[79.0, 273.0, 91.0]",Homo Sapiens,519832676,H16.03.001.01.09.01,3,12141,MTG,,spiny,truncated,full,epilepsy,518641172,left,0.29095064121937
positive,"[9007.42136162164, 865.328132411052, 8068.80299257165]",Mus musculus,581020172,Nkx2-1-CreERT2;Ai14 (IVSCC)-311666.03.01.01,2/3,385,VISp,Nkx2-1-CreERT2,aspiny,NA,,,579671669,left,
positive,"[8571.43849871717, 1520.33945775248, 2537.00682733199]",Mus musculus,481127932,Pvalb-IRES-Cre;Ai14-199002.06.02.01,5,385,VISp,Pvalb-IRES-Cre,aspiny,NA,,,480773363,right,0.582815456052957
positive,"[8190.00000000001, 965.345563571091, 8156.98088204066]",Mus musculus,480087928,Rorb-IRES2-Cre-D;Ai14-197330.06.01.01,4,385,VISp,Rorb-IRES2-Cre,spiny,intact,dendrite-only,,479695183,left,0.446400413561292
positive,"[9296.54582374889, 1524.44950303415, 9140.85922196214]",Mus musculus,522257166,Htr3a-Cre_NO152;Ai14-249978.03.01.01,2/3,385,VISp,Htr3a-Cre_NO152,aspiny,NA,,,520637948,left,0.160683162037123
positive,"[8915.7100716551, 1379.3861586334, 2571.48810778752]",Mus musculus,327970859,Htr3a-Cre_NO152;Ai14-175482.05.02.01,4,385,VISp,Htr3a-Cre_NO152,aspiny,NA,,,325632898,right,0.406030239502927
positive,"[9053.27700660491, 1589.12991046347, 8323.9297066378]",Mus musculus,591517805,Vip-IRES-Cre;Ai14-319671.04.01.01,6a,385,VISp,Vip-IRES-Cre,aspiny,NA,,,589751705,left,
positive,"[9236.69958653798, 1214.07174003465, 7853.24015383853]",Mus musculus,566506157,Chrna2-Cre_OE25;Ai14(IVSCC)-294466.03.01.01,5,385,VISp,Chrna2-Cre_OE25,spiny,intact,,,565087407,left,0.669927932035814
negative,"[8399.85778683815, 717.829201553976, 3398.20911227937]",Mus musculus,479771670,Rorb-IRES2-Cre-D;Ai14-196665.03.02.01,2/3,385,VISp,Rorb-IRES2-Cre,aspiny,NA,,,479695167,right,0.360961746088293
positive,"[9035.61577467492, 864.671601580766, 7925.70842298861]",Mus musculus,513593674,Cux2-CreERT2;Ai14-239082.05.01.01,2/3,385,VISp,Cux2-CreERT2,spiny,intact,,,510023677,left,0.363079633568215
positive,"[9351.33869899615, 667.238044534289, 3767.40752234676]",Mus musculus,583822407,Htr3a-Cre_NO152;Ai14-314135.02.02.01,2/3,385,VISp,Htr3a-Cre_NO152,aspiny,NA,,,581538789,right,
,"[66.0, 220.0, 105.0]",Homo Sapiens,596020931,H17.06.009.11.04.02,4,12141,MTG,,aspiny,NA,full,tumor,595954915,left,0.497824567421906
,"[110.0, 122.0, 240.0]",Homo Sapiens,569095789,H17.06.004.11.05.04,2,12136,AnG,,spiny,intact,full,tumor,569008241,left,0.056400381011851
positive,"[8755.21531421366, 1123.35765144039, 7448.13158915937]",Mus musculus,585080288,Vip-IRES-Cre;Ai14-315368.04.01.01,6a,385,VISp,Vip-IRES-Cre,aspiny,NA,,,583090832,left,
,"[274.0, 331.0, 228.0]",Homo Sapiens,576095991,H17.06.007.11.08.01,5,12116,MFG,,aspiny,NA,full,tumor,576060516,right,0.673428137802
,"[312.0, 280.0, 89.0]",Homo Sapiens,545608578,H16.03.010.13.06.01,3,12141,MTG,,spiny,intact,,epilepsy,545510854,right,
,"[79.0, 273.0, 86.0]",Homo Sapiens,561467633,H16.06.013.12.08.05,3,12141,MTG,,spiny,truncated,,epilepsy,561414332,left,
positive,"[8646.14258496886, 1041.82729070927, 7628.69085263281]",Mus musculus,572410577,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-299579.04.01.01,5,385,VISp,Nos1-CreERT2|Sst-IRES-FlpO,aspiny,NA,,,571780386,left,
positive,"[8946.0, 1049.47686967241, 8202.56063466474]",Mus musculus,470098860,Scnn1a-Tg3-Cre;Ai14-181566.04.01.01,4,385,VISp,Scnn1a-Tg3-Cre,spiny,intact,,,418778127,left,0.372868197228426
,"[70.0, 260.0, 108.0]",Homo Sapiens,528706755,H16.06.009.01.01.15.01,2,12141,MTG,,spiny,intact,dendrite-only,epilepsy,528574320,left,0.134666551732475
positive,"[8983.96602419027, 896.579275114655, 8186.01779636337]",Mus musculus,473611755,Rorb-IRES2-Cre-D;Ai14-181715.03.01.01,2/3,385,VISp,Rorb-IRES2-Cre,spiny,intact,dendrite-only,,472963244,left,0.313011387767044
positive,"[8617.64837926385, 1476.7592705822, 2876.13839694213]",Mus musculus,580537822,Nkx2-1-CreERT2;Ai14 (IVSCC)-311671.04.02.02,5,385,VISp,Nkx2-1-CreERT2,aspiny,NA,,,579671688,right,
positive,"[9030.34918411327, 832.558651793604, 3681.91310831678]",Mus musculus,479091820,Scnn1a-Tg3-Cre;Ai14-195195.04.02.01,4,385,VISp,Scnn1a-Tg3-Cre,spiny,intact,,,478594016,right,0.462671613836927
,"[70.0, 260.0, 111.0]",Homo Sapiens,530055374,H16.06.010.01.03.14.01,3,12141,MTG,,spiny,truncated,,epilepsy,529678110,left,
positive,"[8976.63502144556, 1295.51331478617, 8057.36086373136]",Mus musculus,475549334,Pvalb-IRES-Cre;Ai14-185362.03.01.01,5,385,VISp,Pvalb-IRES-Cre,aspiny,NA,dendrite-only,,475196647,left,0.711457973538847
negative,"[8778.14313670529, 1528.08594980323, 2903.58329078535]",Mus musculus,501799874,Ctgf-2A-dgCre;Ai14(IVSCC)-229233.03.02.01,6a,385,VISp,Ctgf-T2A-dgCre,spiny,intact,dendrite-only,,501715368,right,0.829095915964361
positive,"[7952.74152700644, 1179.56993254323, 3266.62774496741]",Mus musculus,524857207,Chrna2-Cre_OE25;Ai14(BT)-250843.05.02.01,5,385,VISp,Chrna2-Cre_OE25,spiny,intact,,,523701941,right,0.643707805030911
,"[127.0, 354.0, 219.0]",Homo Sapiens,531520637,H16.06.007.01.05.03,3,12113,FroL,,aspiny,NA,full,tumor,518229880,left,0.388676047786476
,"[92.0, 260.0, 67.0]",Homo Sapiens,530097064,H16.06.010.01.01.06.01,3,12142,ITG,,spiny,truncated,,epilepsy,529678110,left,
positive,"[9324.40164147142, 1422.14843576739, 8337.30405246783]",Mus musculus,592819166,Vip-IRES-Cre;Ai14-322778.03.01.01,5,385,VISp,Vip-IRES-Cre,sparsely spiny,NA,,,591417073,left,
positive,"[9180.0, 1385.61764211037, 2736.04663363025]",Mus musculus,490283519,Scnn1a-Tg2-Cre;Ai14-215166.03.02.01,4,385,VISp,Scnn1a-Tg2-Cre,spiny,intact,,,489768917,right,0.518898906787936
,"[325.0, 261.0, 109.0]",Homo Sapiens,488418919,H15.06.017.03.04.01,3,12141,MTG,,spiny,intact,,epilepsy,487502058,right,
positive,"[9327.9207133412, 1769.29311354215, 2395.52701297609]",Mus musculus,524090036,Nos1-CreERT2;Ai14(BT)-251974.03.02.01,5,385,VISp,Nos1-CreERT2,spiny,intact,,,522645847,right,0.480129273890931
positive,"[8766.93193131801, 1245.0648598059, 8245.14719127383]",Mus musculus,314804042,Rorb-IRES2-Cre-D;Ai14-168053.05.01.01,5,385,VISp,Rorb-IRES2-Cre,spiny,intact,dendrite-only,,313403626,left,0.494978352253461
positive,"[9271.28402191403, 2377.15128266899, 9242.29002967842]",Mus musculus,555241040,Chrna2-Cre_OE25;Ai14(BT)-280154.04.01.01,6a,312782574,VISli,Chrna2-Cre_OE25,aspiny,NA,full,,554221077,left,0.849192975036898
positive,"[9300.0, 2027.05351388297, 9286.87472751387]",Mus musculus,561533860,Htr3a-Cre_NO152;Ai14-286731.03.01.01,5,409,VISl,Htr3a-Cre_NO152,aspiny,NA,,,560752216,left,
negative,"[8527.60141567686, 1277.14925029465, 7982.91567338832]",Mus musculus,488688374,Ntsr1-Cre;Ai14-212351.05.01.01,6a,385,VISp,Ntsr1-Cre_GN220,spiny,intact,,,487607536,left,0.869040398886819
positive,"[8113.23628444789, 697.746102723362, 3215.35548448907]",Mus musculus,581058351,Nkx2-1-CreERT2;Ai14 (IVSCC)-311666.06.02.01,2/3,385,VISp,Nkx2-1-CreERT2,aspiny,NA,,,579671669,right,
positive,"[8892.78224916346, 1189.75819626682, 3501.75597247892]",Mus musculus,588729065,Esr2-IRES2-Cre;Ai14-316922.03.02.01,5,385,VISp,Esr2-IRES2-Cre,spiny,intact,,,587251475,right,
negative,"[8557.22884119046, 1089.71449795276, 3496.57811375038]",Mus musculus,488679042,Rorb-IRES2-Cre-D;Ai14-212872.04.02.01,5,385,VISp,Rorb-IRES2-Cre,spiny,intact,dendrite-only,,488425799,right,0.649524799834529
positive,"[8416.06170723784, 1034.96454101367, 7976.75066325859]",Mus musculus,599177740,Tlx3-Cre_PL56;Ai14-329464.05.01.01,5,385,VISp,Tlx3-Cre_PL56,spiny,intact,,,597397703,left,
positive,"[9786.13201766808, 1488.0162688598, 3645.03747629524]",Mus musculus,579662784,Vipr2-IRES2-Cre;Ai14-310515.02.02.01,5,894,RSPagl,Vipr2-IRES2-Cre,spiny,intact,,,578230864,right,
positive,"[9285.52616169147, 2078.69764785673, 2478.89108021072]",Mus musculus,583403073,Chrna2-Cre_OE25;Pvalb-T2A-Dre;Ai66-312583.03.02.01,6a,409,VISl,Chrna2-Cre_OE25|Pvalb-T2A-Dre,aspiny,NA,,,583081886,right,
negative,"[9326.14017165814, 1186.77561019516, 3151.62764017782]",Mus musculus,480169202,Rorb-IRES2-Cre-D;Ai14-197353.03.02.01,4,385,VISp,Rorb-IRES2-Cre,spiny,truncated,,,479695203,right,0.535262706080852
positive,"[8203.758961728, 1615.87732782576, 9067.37897241918]",Mus musculus,484744672,Pvalb-IRES-Cre;Ai14-201773.05.01.01,5,402,VISal,Pvalb-IRES-Cre,aspiny,NA,,,481187859,left,0.624898514828107
positive,"[9500.0, 1457.70390846111, 2712.51995564777]",Mus musculus,502267531,Nr5a1-Cre;Ai14-230422.03.02.01,4,385,VISp,Nr5a1-Cre,spiny,intact,dendrite-only,,501894834,right,0.414353948932992
,"[326.0, 243.0, 108.0]",Homo Sapiens,616647103,H17.03.005.11.09.02,2,12141,MTG,,spiny,intact,full,epilepsy,587641390,right,0.0929658145881198
positive,"[8673.73055792799, 1285.87606858024, 8613.34875468505]",Mus musculus,473951795,Htr3a-Cre_NO152;Ai14-182494.04.01.01,4,385,VISp,Htr3a-Cre_NO152,aspiny,NA,,,472963252,left,0.563664945548959
positive,"[9236.69958653798, 1557.66754231461, 2944.28930416508]",Mus musculus,530737765,Nos1-CreERT2;Ai14(BT)-260226.04.02.01,5,385,VISp,Nos1-CreERT2,aspiny,NA,full,,530227095,right,0.728062876516676
positive,"[8617.64837926384, 1492.38857188999, 8306.61335513658]",Mus musculus,488428837,Ntsr1-Cre;Ai14-212352.04.01.01,6a,385,VISp,Ntsr1-Cre_GN220,spiny,intact,,,487607540,left,0.930580201061235
